A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	0.1       	46.2 MS 4                	0.0462                   	          	        	B-      	100.00      
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	0.1       	46.2 MS 4                	0.0462                   	          	        	BN      	47.00       
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	0.1       	46.2 MS 4                	0.0462                   	          	        	B2N     	7.00        
20 	C      	6  	14 	0.0000  	0+            	37.5                	0.23      	16.2 MS 3.5              	0.0162                   	          	        	B-      	100.00      
20 	C      	6  	14 	0.0000  	0+            	37.5                	0.23      	16.2 MS 3.5              	0.0162                   	          	        	BN      	66.00       
20 	C      	6  	14 	0.0000  	0+            	37.5                	0.23      	16.2 MS 3.5              	0.0162                   	          	        	B2N     	< 18.60     
20 	C      	6  	14 	0.0000  	0+            	37.5                	0.23      	16.2 MS 3.5              	0.0162                   	          	        	B3N     	?           
21 	C      	6  	15 	0.0000  	(1/2+)        	45.6                	0.6       	30 NS LT                 	3.0000000000000004E-8    	          	        	N       	?           
22 	C      	6  	16 	0.0000  	0+            	53.61               	0.23      	6.1 MS +1.4-1.2          	0.0061                   	          	        	B3N     	?           
22 	C      	6  	16 	0.0000  	0+            	53.61               	0.23      	6.1 MS +1.4-1.2          	0.0061                   	          	        	B-      	100.00      
22 	C      	6  	16 	0.0000  	0+            	53.61               	0.23      	6.1 MS +1.4-1.2          	0.0061                   	          	        	BN      	61.00       
22 	C      	6  	16 	0.0000  	0+            	53.61               	0.23      	6.1 MS +1.4-1.2          	0.0061                   	          	        	B2N     	< 37.00     
23 	C      	6  	17 	        	              	64.2                	1.0       	                         	                         	          	        	        	            
10 	N      	7  	3  	0.0000  	              	38.8                	0.4       	                         	                         	          	        	P       	100.00      
11 	N      	7  	4  	0.0000  	1/2+          	24.3                	0.05      	0.83 MEV 0.03            	5.49E-22                 	          	        	P       	100.00      
12 	N      	7  	5  	0.0000  	1+            	17.3381             	0.001     	11.000 MS 0.016          	0.011                    	          	        	EC      	100.00      
13 	N      	7  	6  	0.0000  	1/2-          	5.3455              	3.0E-4    	9.965 M 0.004            	597.9                    	          	        	EC      	100.00      
